완료,기능 ID,기능명,비고,속성,설명,예정 담당자,현재 담당자,우선순위,카테고리
No,CART-008,선택 상품 주문,사용자: 회원,"쇼핑몰, 회원",장바구니에서 선택한 상품만 주문한다.,곽정도,,상,장바구니
No,CART-011,할인 품목 할인 적용여부 및 할인된 가격표시,사용자: 시스템,쇼핑몰,할인 품목은 할인 적용 여부와 할인된 가격을 표시해 준다.,곽정도,,중,장바구니
No,ORD-001,주문서 작성,사용자: 회원,쇼핑몰,회원이 주문할 상품과 수량을 확인하고 주문서를 작성한다.,곽정도,,상,주문
No,ORD-006,주문 생성,사용자: 시스템,쇼핑몰,주문 완료 시 주문번호와 주문 내역을 생성한다.,곽정도,,상,주문
No,ORD-007,주문 상세 생성,사용자: 시스템,쇼핑몰,주문에 포함된 상품별 주문 상세 내역을 생성한다.,곽정도,,상,주문
No,ORD-010,주문 상태 관리,사용자: 시스템/관리자,쇼핑몰,"주문접수, 결제완료, 배송준비중, 배송중, 배송완료, 주문취소, 반품요청, 반품완료 상태를 관리한다.",곽정도,,상,주문
No,PAY-001,결제 진행,사용자: 회원,쇼핑몰,회원이 주문 상품에 대해 결제를 진행한다.,곽정도,,상,결제
No,PAY-002,결제수단 선택,사용자: 회원,쇼핑몰,API에 따라 결제에 사용할 결제 수단을 선택한다.,곽정도,,상,결제
No,PAY-003,쿠폰 적용,사용자: 회원,쇼핑몰,결제 화면에서 사용 가능한 쿠폰을 적용한다.,곽정도,,중,결제
No,PAY-004,결제 성공/실패 처리,사용자: 시스템,쇼핑몰,결제 성공 여부에 따라 주문 상태를 변경한다.,곽정도,,상,결제
No,PAY-005,결제 내역 저장,사용자: 시스템,쇼핑몰,결제 정보를 주문 내역과 연결하여 저장한다.,곽정도,,상,결제
No,PAY-006,결제 취소 처리,사용자: 시스템,쇼핑몰,결제 취소 시 결제 상태를 결제취소로 변경한다.,곽정도,,상,결제
